FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Cymbella leptoceras,,,,BN,,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella mexicana,3,,,BN,,,,,,,,,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella neocistula,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella parva,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella proxima,,,,BN,3,,,,,,,,,NM,,,,F,F,,M,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella reinhardtii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subcistula,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subhelvetica,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subturgidula,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sumatrensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tropica,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumida,3,,,BN,3,,,,,,,low,low,NM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumidula,3,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella turgidula,2,yes,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella vulgata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbellaceae,,,,BN,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,NA
Cymbellafalsa,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellafalsa
Cymbellafalsa diluviana,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellafalsa
Cymbellales,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,NA,NA
Cymbellonitzschia,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellonitzschia
Cymbellonitzschia diluviana,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellonitzschia
Cymbopleura,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura amphicephala,,,,BN,4,,yes,,,,,low,low,NM,NALON,NALON,DO_100,FB,FB,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura budayana,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura citrus,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura crassipunctata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura cuspidata,,,,BN,5,,yes,,,,,,low,NM,,,,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura hauckii,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura hustedtii,,,,BN,,,,,,,,low,low,NM,NALON,NALON,DO_100,FB,FB,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura hybrida,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura inaequalis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura incerta,,,,BN,,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura laeviformis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura lapponica,,,,BN,,,,,,,,,,NM,,,,F,F,,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura naviculiformis,3,,,BN,,,,,,,,low,,NM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura subaequalis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura subcuspidata,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Delicata,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Delicata
Delicata delicatula,2,yes,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Delicata
Denticula,,,,BN,3.7,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula creticola,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula elegans,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula kuetzingii,4,,yes,BN,,,,,,,,,low,MM,NALON,NALON,DO_100,FB,FB,BM,M,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula subtilis,4,,yes,BN,2,yes,,,,,,,,MM,NALON,NALON,DO_100,BF,Halo,OS,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula tenuis,2,yes,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_100,F,F,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula thermalis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Denticula valida,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Denticula
Dermatochrysis reticulata,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Chromulinales,Chrysocapsaceae,Dermatochrysis
Desmidium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Desmidium
Desmidium swartzii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Desmidium
Desmodesmus,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus
Desmodesmus armatus,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus
Diadesmis,,,,BN,3.3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diadesmis confervacea,5,,yes,BN,1,yes,,,,,,high,high,MM,NHHONF,Heterotroph,DO_50,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diadesmis contenta,3,,,BN,4,,yes,,,,,,,MM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diadesmis gallica,3,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diadesmis perpusilla,3,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diadesmis templiniana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis
Diatoma,,,,BN,4,,yes,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma anceps,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma anceps var linearis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma ehrenbergii,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma elongatum,,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma hiemale,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma hiemalis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma mesodon,2,yes,,BN,5,,yes,,,,,low,low,NM,NALON,NALON,DO_100,F,F,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma moniliforme,3,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma problematica,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma tenuis,2,yes,,BN,3,,,,,,,,,NM,NAHON,NAHON,DO_50,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma vulgaris,3,,,BN,4,,yes,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatoma vulgaris var linearis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma
Diatomella,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Diatomella
Diatomella balfouriana,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Diatomella
Dichothrix,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Dichothrix compacta,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Dichothrix gypsophila,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Dichothrix hosfordii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Dichothrix orsiniana,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Dictyosphaerium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium
Dictyosphaerium ehrenbergianum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium
Dictyosphaerium pulchellum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium
Didymosphenia,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Didymosphenia
Didymosphenia geminata,2,yes,,BN,5,,yes,,,,,low,low,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Didymosphenia
Dinobryaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,NA
Dinobryon,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon
Dinobryon divergens,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon
Dinophyceae,,,,,,,,,,,,,,,,,,,,,,,,,,Miozoa,Dinophyceae,NA,NA,NA
Diploneis,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis aestuari,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis boldtiana,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis elliptica,3,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis finnica,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis interrupta,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis marginestriata,,,,BN,5,,yes,,,,,,,MM,,,,F,F,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis modica,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis oblongella,3,,,BN,4,,yes,,,,,low,low,MM,NALON,NALON,DO_100,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis oculata,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis ovalis,3,,,BN,4,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis parma,3,,,BN,5,,yes,,,,,low,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis pseudovalis,3,,,BN,5,,yes,,,,,,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis puella,,,,BN,5,,yes,,,,,,high,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis separanda,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis smithii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diploneis subovalis,,,,BN,4.5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Discostella,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella
Discostella pseudostelligera,4,,yes,P,,,,,,,,high,high,NM,NAHON,NAHON,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella
Discostella stelligera,3,,,P,,,,,,,,high,high,NM,,,,FB,FB,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella
Discostella woltereckii,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella
Dolichospermum,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum
Dolichospermum flosaquae,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum
Dolichospermum lemmermannii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Dolichospermum planctonicum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum
Dolichospermum solitarium,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum
Draparnaldia,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia
Draparnaldia glomerata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia
Draparnaldia mutabilis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia
Draparnaldiopsis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldiopsis
Draparnaldiopsis alpinis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldiopsis
Elakatothrix,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Elakatotrichaceae,Elakatothrix
Ellerbeckia,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliaceae,Ellerbeckia
Ellerbeckia arenaria,,,,BN,5,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliaceae,Ellerbeckia
Encyonema,,,,BN,4.9,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema auerswaldii,,,,BN,4,,yes,,,,,low,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema caespitosum,,,,BN,4,,yes,,,,,low,low,MM,,,,FB,FB,AM,I,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema elginense,2,yes,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema evergladianum,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema gracile,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema hamsherae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema hebridicum,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema hilliardii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema lacustre,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema latens,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema latum,1,yes,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema lunatum,2,yes,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema mesianum,3,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema minutum,3,,,BN,4.8,,yes,,,,,low,low,MM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema muelleri,2,yes,,BN,5,,yes,,,,,low,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema neogracile,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema norvegicum,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema obscurum,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema pergracile,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema perpusillum,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema prostratum,,,,BN,4,,yes,,,,,,low,MM,NALON,NALON,DO_100,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema reichardtii,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema silesiacum,2,yes,,BN,5,,yes,,,,,low,low,MM,NAHON,NAHON,DO_50,FB,FB,AM,I,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema triangulum,2,yes,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonema yellowstonianum,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Encyonopsis,,,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_100,F,F,OS,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis cesatiformis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis cesatii,2,yes,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis descripta,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis falaisensis,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis hustedtii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis krammeri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis microcephala,3,,,BN,4,,yes,,,,,low,low,MM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis montana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Encyonopsis subminuta,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
Entomoneis,,,,BN,2,yes,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis
Entomoneis alata,,,,BN,2,yes,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis
Entomoneis costata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis
Entomoneis ornata,,,,BN,2,yes,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis
